eid,location,start_day,start_time,end_time,total_time,shift_title,event_id
3059109,"Pittsburgh, PA",3/17/19,10:56 AM,4:00 PM,5.07,Pittsburgh Zoo ,93.PIT0319
3189115,"Pittsburgh, PA",3/21/19,8:59 AM,3:47 PM,6.8,Pittsburgh Zoo ,93.PIT0319
3182221,"Pittsburgh, PA",3/21/19,9:05 AM,3:45 PM,6.67,Pittsburgh Zoo ,93.PIT0319
3123563,"Pittsburgh, PA",3/22/19,8:55 AM,4:00 PM,7.08,Pittsburgh Zoo ,93.PIT0319
3047887,"Pittsburgh, PA",3/22/19,9:55 AM,3:57 PM,6.03,Pittsburgh Zoo ,93.PIT0319
3091445,"Pittsburgh, PA",3/23/19,8:57 AM,3:52 PM,6.93,Pittsburgh Zoo ,93.PIT0319
3123563,"Pittsburgh, PA",3/24/19,8:55 AM,4:08 PM,7.22,Pittsburgh Zoo ,93.PIT0319
3059109,"Pittsburgh, PA",3/24/19,8:59 AM,4:07 PM,7.12,Pittsburgh Zoo ,93.PIT0319
3059113,"Pittsburgh, PA",3/28/19,8:55 AM,4:27 PM,7.53,Pittsburgh Zoo ,93.PIT0319
3182221,"Pittsburgh, PA",3/28/19,8:57 AM,11:55 AM,2.97,Pittsburgh Zoo ,93.PIT0319
3189115,"Pittsburgh, PA",3/29/19,9:12 AM,4:00 PM,6.8,Pittsburgh Zoo ,93.PIT0319
3066360,"Pittsburgh, PA",3/29/19,9:13 AM,4:00 PM,6.78,Pittsburgh Zoo ,93.PIT0319
3059113,"Pittsburgh, PA",3/30/19,8:57 AM,4:04 PM,7.12,Pittsburgh Zoo ,93.PIT0319
3091445,"Pittsburgh, PA",3/30/19,8:58 AM,4:00 PM,7.02,Pittsburgh Zoo ,93.PIT0319
3047887,"Pittsburgh, PA",3/31/19,8:59 AM,4:01 PM,7.02,Pittsburgh Zoo ,93.PIT0319
3059109,"Pittsburgh, PA",3/31/19,9:03 AM,4:02 PM,6.99,Pittsburgh Zoo ,93.PIT0319
3100047,"Phoenix, AZ",3/5/19,9:29 AM,2:15 PM,4.78,Glynlyon ,94.PHX0319
3116251,"Phoenix, AZ",3/5/19,9:33 AM,2:16 PM,4.73,Glynlyon ,94.PHX0319
3055332,"Phoenix, AZ",3/20/19,8:59 AM,2:16 PM,5.29,Pepsi Health Fair ,94.PHX0319
3091419,"Phoenix, AZ",3/20/19,9:00 AM,2:16 PM,5.27,Pepsi Health Fair ,94.PHX0319
