date_sign_up,customer_id,initial_sales_order_nr,customer_name,first_product_sku,first_product_name,voucher_code
1/25/2019 14:03,14171343,297342173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL049EVT
1/25/2019 14:04,14171389,231342173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PTG011EVT
1/25/2019 14:10,14171528,221422173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND027EVT
1/25/2019 14:11,14171500,253422173,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,IND002MAL
1/25/2019 14:12,14171548,214222173,,US-CP-3-4-0,Classic - 3 meals per week for 4 people,ATL042MAL
1/25/2019 14:14,14171600,267222173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK016EVT
1/25/2019 14:14,5364788,237222173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,IND001EVT
1/25/2019 14:22,14171554,241622173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PHX003TRI
1/25/2019 14:21,14171756,264922173,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE023FIT
1/25/2019 14:25,14171873,281922173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL043FIT
1/25/2019 14:29,14171977,259822173,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,PTG024EVT
1/25/2019 14:29,14171971,228822173,,US-CP-3-4-0,Classic - 3 meals per week for 4 people,JAK016EVT
1/25/2019 14:32,14172035,252722173,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,COL019EVT
1/25/2019 14:34,14172061,279722173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,ATL020EVT
1/25/2019 14:37,14172106,221722173,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,BOS030EVT
1/25/2019 14:41,14172005,261722173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,CLE008RES
1/25/2019 14:47,14172196,237522173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,JAK041RES
1/25/2019 14:46,14172308,262122173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,PTG051EVT
1/25/2019 14:47,14172337,226122173,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,SEA020MAL
1/25/2019 14:53,14172539,212322173,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,PTG024EVT
1/25/2019 14:54,14172488,279322173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,SEA038MAL
1/25/2019 14:54,14172571,227322173,,US-CP-3-2-0,Classic - 3 meals per week for 2 people,SEA005EVT
1/25/2019 14:58,14172592,242462173,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,SEA060EVT
1/25/2019 14:59,14172623,222462173,,US-CP-2-2-0,Classic - 2 meals per week for 2 people,CLE024MAL
